id,activity,task,story,persona,outcome,slice,method,score,reasoning,wsjf_value,wsjf_time,wsjf_risk,wsjf_size,rice_reach,rice_impact,rice_confidence,rice_effort,moscow
S001,Sign in & access the portal,Authenticate via company SSO,"As a CS Agent, I want to sign in to the portal using my company SSO, so that I don't need yet another password and IT keeps me in their identity system",CS Agent,I don't need yet another password and IT keeps me in their identity system,pi-1,wsjf,7.00,"Foundational: nothing else ships without auth. SSO is mandatory for fintech internal tool.",8,8,5,3,,,,,
S002,Sign in & access the portal,Authenticate via company SSO,"As a CS Agent, I want to be auto-signed-out after a period of inactivity, so that an unattended laptop can't be used to issue refunds",CS Agent,an unattended laptop can't be used to issue refunds,pi-1,wsjf,4.50,"Compliance-mandated for money-movement tooling. Small additional work once SSO is wired.",5,3,1,2,,,,,
S003,Sign in & access the portal,Authenticate via company SSO,"As a CS Agent, I want SSO to remember me across browser sessions within the working day, so that I'm not re-authenticating every time I open the portal",CS Agent,I'm not re-authenticating every time I open the portal,pi-2,wsjf,2.50,"Quality of life; sleeps fine until pilot users complain.",3,1,1,2,,,,,
S004,Sign in & access the portal,Get the right access scope for my role,"As a CS Agent, I want to land on a page scoped to refund actions only, so that I can't accidentally wander into admin tooling",CS Agent,I can't accidentally wander into admin tooling,pi-1,wsjf,4.50,"RBAC is required; this is the UI side of it. Cheap once SSO roles exist.",5,3,1,2,,,,,
S005,Sign in & access the portal,Get the right access scope for my role,"As a CS Team Lead, I want to see a ""pending approvals"" entry point in addition to issuing my own refunds, so that I know what's waiting on me",CS Team Lead,I know what's waiting on me,pi-1,wsjf,4.33,"Required for the approval workflow to actually work end-to-end in pi-1.",5,5,3,3,,,,,
S006,Sign in & access the portal,Get the right access scope for my role,"As a CS Team Lead, I want to view the list of CS Agents currently provisioned and their last-active time, so that I can spot stale or unused accounts during quarterly reviews",CS Team Lead,I can spot stale or unused accounts during quarterly reviews,pi-2,wsjf,1.67,"Compliance-flavored hygiene, but quarterly cadence means it can wait.",3,1,1,3,,,,,
S007,Sign in & access the portal,Get the right access scope for my role,"As a CS Team Lead, I want to grant/revoke a CS Agent's refund capability from within the portal, so that I don't have to file an IT ticket every time we onboard or offboard someone",CS Team Lead,I don't have to file an IT ticket every time we onboard or offboard someone,pi-3,wsjf,1.20,"Convenience for the lead; IT ticket path works fine for the volumes involved (~5-15 agents).",3,1,2,5,,,,,
S008,Find the transaction,Look up by customer,"As a CS Agent, I want to search for a customer by email address, so that I can start from how the customer identifies themselves to me",CS Agent,I can start from how the customer identifies themselves to me,pi-1,wsjf,8.00,"Primary entry point for ~80%+ of refund cases per H1. Without it, no MVP.",13,8,3,3,,,,,
S009,Find the transaction,Look up by customer,"As a CS Agent, I want to see the customer's recent transactions (last 90 days) listed newest-first, so that I can pick the right one without knowing the transaction ID",CS Agent,I can pick the right one without knowing the transaction ID,pi-1,wsjf,7.67,"Direct payoff of H1; lets agents work the way they think.",13,5,5,3,,,,,
S010,Find the transaction,Look up by customer,"As a CS Agent, I want to filter the transaction list by date range or amount, so that I can find the right one when the customer says ""the $42 charge from a couple weeks ago""",CS Agent,"I can find the right one when the customer says ""the $42 charge from a couple weeks ago""",pi-2,wsjf,4.00,"Improves agent speed once base lookup is in place; not a slice-1 blocker.",5,2,1,2,,,,,
