id,activity,task,story,persona,outcome,slice,method,score,reasoning,depends_on,okr,okr_contribution,acceptance_criteria_file,wsjf_value,wsjf_time,wsjf_risk,wsjf_size,rice_reach,rice_impact,rice_confidence,rice_effort,moscow
S001,Sign in,Authenticate via corporate SSO,User signs in with company SSO,CS agent,no separate password,pi-1,wsjf,3.25,Enables every other user action; shipped,,KR-1.2,SSO is precondition for SCIM and audit trail,,13,8,5,8,,,,,
S002,Find transaction,Look up by identifier,Find a transaction by ID,CS agent,resolve a ticket fast,pi-1,wsjf,4.40,Primary KR-2.1 lever; shipped,H:S001,KR-2.1,direct CS time-per-ticket cut,,13,5,4,5,,,,,
S003,Find transaction,Look up by customer,Find transactions by customer email,CS agent,find charge when no ID provided,pi-1,wsjf,4.40,Same KR-2.1 lever; covers majority of inbound tickets,H:S001,KR-2.1,covers ~70% of CS lookups,,13,5,4,5,,,,,
S004,Review transaction,Inspect details before action,View full transaction details,CS agent,confirm right charge,pi-1,wsjf,7.00,Cheap and required for every refund; prevents wrong-refund tickets,"H:S002,H:S003",KR-2.1,prevents rework cycles,,8,8,5,3,,,,,
S005,Submit refund,Issue refund within auto-approve threshold,Submit refunds under $100 with rule-based auto-approve,CS agent,small refunds clear instantly,pi-1,wsjf,2.08,Largest single SP item in PI 1; high value but expensive,"H:S004",KR-2.1,clears ~60% of ticket volume at zero approver touch,,13,8,5,13,,,,,
S006,Submit refund,Issue refund above threshold,Submit refunds over $100 into approval queue,CS agent,supervisors sanity-check before money moves,pi-1,wsjf,1.85,Needed but downstream of S007 approver dashboard,"H:S004,S:S007",KR-2.1,covers high-value tail,,8,8,8,13,,,,,
S007,Approve refund,Supervisor review,Approver dashboard for pending refunds,Approver,clear queue without hunting,pi-1,wsjf,2.88,Unblocks S006; visible to supervisors,"H:S006",KR-2.1,enables supervisor throughput,,13,5,5,8,,,,,
S008,Notify stakeholders,Notify customer,Email customer on refund,Customer,customer knows refund is on the way,pi-1,wsjf,5.00,Cuts inbound "where's my refund" tickets,"H:S005",KR-2.1,cuts repeat-contact volume,,8,5,2,3,,,,,
S009,Notify stakeholders,Notify approver,Slack ping approver,Approver,approver doesn't miss queued items,pi-1,wsjf,6.00,Cheap; closes the loop on S007,"H:S007",KR-2.1,reduces queue dwell time,,8,8,2,3,,,,,
S010,Notify stakeholders,Handle failed refunds,Failed refunds retry queue,CS agent,intermittent payment-provider blips don't escalate,pi-1,wsjf,3.60,Operational hygiene; prevents CS toil spikes,"H:S005",KR-2.1,prevents toil regression,,5,5,8,5,,,,,
S011,Audit / compliance,Emit audit events,Emit audit log for refund actions,SOC 2 auditor,auditors can reconstruct decisions,pi-1,wsjf,8.67,SOC 2 BLOCKER — required by audit gate,"H:S005,H:S006",KR-1.1,SOC 2 evidence base,,13,13,0,3,,,,,
S012,Audit / compliance,Search audit log,Search audit log,Compliance,answer auditor questions without engineering,pi-1,wsjf,2.63,Useful but auditor-driven; lower than emit/retention/export,"H:S011",KR-1.1,reduces auditor back-and-forth,,8,5,8,8,,,,,
S013,Audit / compliance,Retention policy,SOC 2 audit log retention 7 years,SOC 2 auditor,audit trail admissible,pi-1,wsjf,5.20,SOC 2 BLOCKER — retention is a hard control,"H:S011",KR-1.1,SOC 2 retention control,,8,13,5,5,,,,,
S014,Audit / compliance,Export evidence,Audit log CSV export,Compliance,hand evidence to auditor,pi-1,wsjf,5.20,SOC 2 BLOCKER — auditor needs export,"H:S011",KR-1.1,SOC 2 evidence delivery,,8,13,5,5,,,,,
S015,Detect anomalies,Pattern detection on refunds,Suspicious refund cluster alerts,security engineer,catch internal fraud / compromised accounts early,pi-1,wsjf,2.13,KR-1.1 ladder but NOT a SOC 2 audit-gate item; candidate to defer,"H:S011",KR-1.1,fraud-detection enhancement; SOC 2-adjacent not blocker,,8,3,5,8,,,,,
F-SCIM-01,Provision tenant users,Establish SCIM 2.0 endpoint surface,SCIM 2.0 endpoint scaffold with auth,Enterprise IT admin,IdP can discover provisioning API,pi-1-scim,wsjf,5.20,Walking-skeleton for new activity; unblocks every other SCIM story,"H:S001",KR-1.2,KR-1.2 SCIM half + $400K deal precondition,slice-1-acceptance-criteria.md#F-SCIM-01,13,8,5,5,,,,,
F-SCIM-02,Provision tenant users,Provision users,Create + update users via SCIM,Enterprise IT admin,new hires get refund-portal access automatically,pi-1-scim,wsjf,3.50,Core provisioning path; $400K deal blocker,"H:F-SCIM-01",KR-1.2,KR-1.2 SCIM half + deal commit,slice-1-acceptance-criteria.md#F-SCIM-02,13,8,7,8,,,,,
F-SCIM-03,Provision tenant users,Deprovision users,SCIM DELETE / user disable,Enterprise IT admin,offboarded users lose access immediately,pi-1-scim,wsjf,5.20,Double-counts: $400K deal + SOC 2 offboarding control,"H:F-SCIM-02",KR-1.2,KR-1.2 SCIM + bonus KR-1.1 control,slice-1-acceptance-criteria.md#F-SCIM-03,13,8,5,5,,,,,
F-SCIM-04,Provision tenant users,Group-to-role mapping,Map IdP groups to portal roles,Enterprise IT admin,no manual role re-assignment per user,deferred-or-pi-1-scim,wsjf,2.88,IdP-specific (Okta); may be deferable per deal terms,"H:F-SCIM-02",KR-1.2,KR-1.2 SCIM polish,,8,8,7,8,,,,,
