id,activity,task,story,persona,outcome,slice,method,score,reasoning,depends_on,okr,okr_contribution,acceptance_criteria_file,wsjf_value,wsjf_time,wsjf_risk,wsjf_size,rice_reach,rice_impact,rice_confidence,rice_effort,moscow
S001,Discover and request access,Find the IDP and sign in,"As an Application Developer, I want to sign in to the IDP with my corporate SSO, so that I do not need a separate credential to get started.",Application Developer,Single sign-on entry point,pi-1,wsjf,6.50,"Foundational — every other dev story depends on auth. SSO removes credential friction on day 1.",,,,slice-1-acceptance-criteria.md#S001,8,5,13,4,,,,,
S002,Discover and request access,Find the IDP and sign in,"As an Application Developer, I want to land on a ""what can I do here"" home page after sign-in, so that I do not need a wiki to figure out the next step.",Application Developer,Self-explaining landing experience,pi-1,wsjf,4.33,"Adoption driver — without a clear next-step UI, devs bounce back to the old workflow.",S001,,,slice-1-acceptance-criteria.md#S002,5,5,3,3,,,,,
S003,Discover and request access,Find the IDP and sign in,"As an Application Developer, I want a one-click onboarding tour the first time I sign in, so that I can skip the docs and try a sandbox immediately.",Application Developer,Friction-free first-time experience,pi-2,wsjf,2.67,"Nice polish; lower urgency since S002 already covers the cold-start gap in PI 1.",S002,,,,3,2,3,3,,,,,
S004,Discover and request access,Get into my team's workspace,"As an Application Developer, I want my team membership auto-resolved from SSO group claims, so that I do not need to file a ticket to be added to my own team's workspace.",Application Developer,No-ticket team onboarding,pi-1,wsjf,4.20,"Direct hit on the IT-bottleneck pattern the user is trying to escape.",S001,,,slice-1-acceptance-criteria.md#S004,8,5,8,5,,,,,
S005,Discover and request access,Get into my team's workspace,"As a Platform Team Engineer, I want to override or correct team-workspace membership when SSO claims are stale, so that I am not blocked by an HR data lag.",Platform Team Engineer,Admin escape hatch for SSO drift,pi-2,wsjf,2.33,"Operational safety net; SSO will be the path in 95%+ of cases, but the lag case is real.",S004,,,,3,2,2,3,,,,,
S006,Spin up an environment,Pick a blueprint and provision,"As an Application Developer, I want to pick a sandbox blueprint from a catalog (e.g., ""Node + Postgres"", ""Python + Redis""), so that I do not start from a blank Terraform file.",Application Developer,Curated blueprint catalog,pi-1,wsjf,4.33,"Without a catalog, sandbox creation is a Terraform homework assignment and adoption stalls.",S001,,,slice-1-acceptance-criteria.md#S006,13,8,5,6,,,,,
S007,Spin up an environment,Pick a blueprint and provision,"As an Application Developer, I want to click ""Create sandbox"" and have a working env in under 5 minutes with no approval gate, so that I stop using my personal AWS account.",Application Developer,Sub-5-min sandbox creation,pi-1,wsjf,3.80,"THE headline PI-1 story — directly tests H1+H2. Large size reflects integration work across IaC, AWS account, and IDP UI.",S001|S006|S011|S012,,,slice-1-acceptance-criteria.md#S007,20,13,5,10,,,,,
S008,Spin up an environment,Pick a blueprint and provision,"As a Platform Team Engineer, I want every sandbox blueprint to pre-apply default security policies (private VPC, encrypted EBS, scoped IAM), so that the permit-by-default model is still safe by default.",Platform Team Engineer,Safe-by-default blueprints,pi-1,wsjf,5.20,"The thing that makes permit-by-default defensible to the platform team — without this, the carve-out in Q4 falls apart.",S006,,,slice-1-acceptance-criteria.md#S008,13,8,5,5,,,,,
S009,Spin up an environment,Pick a blueprint and provision,"As an Application Developer, I want to fork a blueprint and tweak it for my use case, so that my team's pattern can become a new template without filing a ticket.",Application Developer,Community-driven blueprints,pi-2,wsjf,2.40,"Enables long-tail use cases without growing the platform-team review queue.",S006,,,,5,3,4,5,,,,,
S010,Spin up an environment,Pick a blueprint and provision,"As a Platform Team Engineer, I want to promote a community-forked blueprint to ""official"" status with a review, so that good patterns are amplified without forcing a review on every fork.",Platform Team Engineer,Curation pathway for community blueprints,pi-2,wsjf,2.00,"Quality-control on the catalog; downstream of S009.",S009,,,,3,3,4,5,,,,,
S011,Spin up an environment,Apply tags and metadata at creation,"As an Application Developer, I want the env-creation form to pre-fill team and cost-center from my profile, so that I do not retype them on every env.",Application Developer,Frictionless tag entry,pi-1,wsjf,4.00,"Resolves Q2 — devs accept mandatory tagging because the form does the work for them.",S004,,,slice-1-acceptance-criteria.md#S011,5,5,2,3,,,,,
S012,Spin up an environment,Apply tags and metadata at creation,"As a Platform Team Engineer, I want team, cost-center, and env-type tags to be mandatory at creation (no skip path), so that every env is attributable in cost reports.",Platform Team Engineer,Mandatory attribution tags,pi-1,wsjf,7.00,"The foundational control that makes a future $40K spike attributable in hours, not weeks. Cheap to implement.",S011,,,slice-1-acceptance-criteria.md#S012,8,8,5,3,,,,,
S013,Spin up an environment,Override defaults with justification,"As an Application Developer, I want to override a default policy (e.g., open a port to the internet for a demo) with a one-line justification, so that I am not blocked but the platform team has an audit trail.",Application Developer,Override-and-justify path,pi-1,wsjf,3.60,"Concrete embodiment of the user's ""permit by default with auditing"" stance. Without it, S008 becomes a wall.",S008,,,slice-1-acceptance-criteria.md#S013,8,5,5,5,,,,,
S014,Spin up an environment,Override defaults with justification,"As a Platform Team Engineer, I want a ""high-risk policy"" subset (e.g., wide-open S3 in prod, public RDS) that does block rather than just warn, so that the most expensive mistakes cannot happen via override.",Platform Team Engineer,Blocking guardrails for highest-risk patterns,pi-2,wsjf,2.86,"Tightens governance after PI 1 evidence; deliberately not in PI 1 per user stance.",S013,,,,8,5,7,7,,,,,
S015,Connect services and secrets,Self-service secrets for non-prod,"As an Application Developer, I want to store and retrieve non-prod secrets in a self-service vault from my env, so that I stop copy-pasting credentials in Slack.",Application Developer,Self-service non-prod vault,pi-1,wsjf,3.50,"Direct kill of a real (and well-known) security anti-pattern; both personas align (Q8).",S001,,,slice-1-acceptance-criteria.md#S015,8,5,8,6,,,,,
