id,activity,task,story,persona,outcome,slice
S001,Discover and request access,Find the IDP and sign in,"As an Application Developer, I want to sign in to the IDP with my corporate SSO, so that I do not need a separate credential to get started.",Application Developer,I do not need a separate credential to get started,pi-1
S002,Discover and request access,Find the IDP and sign in,"As an Application Developer, I want to land on a ""what can I do here"" home page after sign-in, so that I do not need a wiki to figure out the next step.",Application Developer,I do not need a wiki to figure out the next step,pi-1
S003,Discover and request access,Find the IDP and sign in,"As an Application Developer, I want a one-click onboarding tour the first time I sign in, so that I can skip the docs and try a sandbox immediately.",Application Developer,I can skip the docs and try a sandbox immediately,pi-2
S004,Discover and request access,Get into my team's workspace,"As an Application Developer, I want my team membership auto-resolved from SSO group claims, so that I do not need to file a ticket to be added to my own team's workspace.",Application Developer,I do not need to file a ticket to be added to my own team's workspace,pi-1
S005,Discover and request access,Get into my team's workspace,"As a Platform Team Engineer, I want to override or correct team-workspace membership when SSO claims are stale, so that I am not blocked by an HR data lag.",Platform Team Engineer,I am not blocked by an HR data lag,pi-2
S006,Spin up an environment,Pick a blueprint and provision,"As an Application Developer, I want to pick a sandbox blueprint from a catalog (e.g., ""Node + Postgres"", ""Python + Redis""), so that I do not start from a blank Terraform file.",Application Developer,I do not start from a blank Terraform file,pi-1
S007,Spin up an environment,Pick a blueprint and provision,"As an Application Developer, I want to click ""Create sandbox"" and have a working env in under 5 minutes with no approval gate, so that I stop using my personal AWS account.",Application Developer,I stop using my personal AWS account,pi-1
S008,Spin up an environment,Pick a blueprint and provision,"As a Platform Team Engineer, I want every sandbox blueprint to pre-apply default security policies (private VPC, encrypted EBS, scoped IAM), so that the permit-by-default model is still safe by default.",Platform Team Engineer,the permit-by-default model is still safe by default,pi-1
S009,Spin up an environment,Pick a blueprint and provision,"As an Application Developer, I want to fork a blueprint and tweak it for my use case, so that my team's pattern can become a new template without filing a ticket.",Application Developer,my team's pattern can become a new template without filing a ticket,pi-2
S010,Spin up an environment,Pick a blueprint and provision,"As a Platform Team Engineer, I want to promote a community-forked blueprint to ""official"" status with a review, so that good patterns are amplified without forcing a review on every fork.",Platform Team Engineer,good patterns are amplified without forcing a review on every fork,pi-2
S011,Spin up an environment,Apply tags and metadata at creation,"As an Application Developer, I want the env-creation form to pre-fill team and cost-center from my profile, so that I do not retype them on every env.",Application Developer,I do not retype them on every env,pi-1
S012,Spin up an environment,Apply tags and metadata at creation,"As a Platform Team Engineer, I want team, cost-center, and env-type tags to be mandatory at creation (no skip path), so that every env is attributable in cost reports.",Platform Team Engineer,every env is attributable in cost reports,pi-1
S013,Spin up an environment,Override defaults with justification,"As an Application Developer, I want to override a default policy (e.g., open a port to the internet for a demo) with a one-line justification, so that I am not blocked but the platform team has an audit trail.",Application Developer,I am not blocked but the platform team has an audit trail,pi-1
S014,Spin up an environment,Override defaults with justification,"As a Platform Team Engineer, I want a ""high-risk policy"" subset (e.g., wide-open S3 in prod, public RDS) that does block rather than just warn, so that the most expensive mistakes cannot happen via override.",Platform Team Engineer,the most expensive mistakes cannot happen via override,pi-2
S015,Connect services and secrets,Self-service secrets for non-prod,"As an Application Developer, I want to store and retrieve non-prod secrets in a self-service vault from my env, so that I stop copy-pasting credentials in Slack.",Application Developer,I stop copy-pasting credentials in Slack,pi-1
S016,Connect services and secrets,Self-service secrets for non-prod,"As an Application Developer, I want the IDP to inject secrets into my env as environment variables or mounted files, so that I do not roll my own bootstrap.",Application Developer,I do not roll my own bootstrap,pi-1
S017,Connect services and secrets,Request access to managed services,"As an Application Developer, I want a list of internally-available managed services (DBs, queues, caches) I can attach to my env in one click, so that I do not file a ticket for a dev Postgres.",Application Developer,I do not file a ticket for a dev Postgres,pi-1
S018,Connect services and secrets,Request access to managed services,"As an Application Developer, I want to request a new shared service to be added to the catalog with a justification, so that the catalog grows from real demand.",Application Developer,the catalog grows from real demand,pi-2
S019,Connect services and secrets,Bring my own tools (non-prod only),"As an Application Developer, I want to install arbitrary tools, container images, or libraries in my non-prod sandbox without a security review queue, so that I can try things.",Application Developer,I can try things,pi-1
S020,Connect services and secrets,Bring my own tools (non-prod only),"As a Platform Team Engineer, I want a background SBOM/scan job to run on BYO non-prod workloads and surface findings on a dashboard, so that BYO is observable without being blocking.",Platform Team Engineer,BYO is observable without being blocking,pi-1
S021,Deploy to staging,Push to staging without a ticket,"As an Application Developer, I want to deploy my containerized app to staging from the IDP UI or CLI, so that I do not need a release-manager ticket for non-prod pushes.",Application Developer,I do not need a release-manager ticket for non-prod pushes,pi-1
S022,Deploy to staging,Push to staging without a ticket,"As an Application Developer, I want my deploy to show me logs and a healthcheck result in the UI, so that I know whether it worked.",Application Developer,I know whether it worked,pi-1
S023,Deploy to staging,Push to staging without a ticket,"As an Application Developer, I want preview environments per pull request, so that reviewers can click a link instead of pulling my branch locally.",Application Developer,reviewers can click a link instead of pulling my branch locally,pi-2
S024,Deploy to staging,Prod deploys (carve-out — approval-gated),"As a Platform Team Engineer, I want prod deploys to require a documented approver from a configured list, so that the permit-by-default model does not leak into prod.",Platform Team Engineer,the permit-by-default model does not leak into prod,pi-2
S025,Deploy to staging,Prod deploys (carve-out — approval-gated),"As an Application Developer, I want to submit a prod deploy request from the same UI as my staging deploys, so that the workflow feels continuous even though prod is gated.",Application Developer,the workflow feels continuous even though prod is gated,pi-2
S026,Operate and observe,See my env cost and usage,"As an Application Developer, I want to see my env's running cost in near-real time in the IDP UI, so that I notice if I left something expensive running.",Application Developer,I notice if I left something expensive running,pi-1
S027,Operate and observe,See my env cost and usage,"As a Platform Team Engineer, I want a project-wide spend dashboard with per-team and per-env breakdowns, so that the next $40K spike is attributable in hours, not weeks.",Platform Team Engineer,"the next $40K spike is attributable in hours, not weeks",pi-1
S028,Operate and observe,See my env cost and usage,"As an Application Developer, I want to receive a budget alert when my env's projected monthly cost crosses a configured threshold, so that I am the first to know I have a problem.",Application Developer,I am the first to know I have a problem,pi-1
S029,Operate and observe,Tear down and clean up,"As an Application Developer, I want to tear down my env in one click and confirm everything is destroyed, so that I do not leak resources after I am done.",Application Developer,I do not leak resources after I am done,pi-1
S030,Operate and observe,Tear down and clean up,"As a Platform Team Engineer, I want auto-expiry on sandbox envs after a configurable idle period with a developer-controlled extension, so that forgotten envs do not accumulate.",Platform Team Engineer,forgotten envs do not accumulate,pi-2
S031,Operate and observe,Audit trail for the platform team,"As a Platform Team Engineer, I want every env creation, override, secret access, and deploy event logged to a queryable audit store, so that I can investigate incidents without paging the developer.",Platform Team Engineer,I can investigate incidents without paging the developer,pi-1
S032,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),Soft cost cap per env with override-and-justify (the next step toward Q3 resolution; not a hard cap),,,pi-2
S033,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),"Platform-team review queue for new ""official"" blueprints",,,pi-2
S034,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),Hard cost caps with break-glass — only if PI 1/2 cost-alert evidence shows alerts are insufficient,,,pi-3
S035,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),Allowlist-style approval workflow for env creation — deferred per VP Eng stance; revisit only if a real incident demands it,,,pi-3
S036,Non-backbone: Platform reliability,Platform reliability,IDP itself has SLO + on-call rotation,,,pi-2
S037,Non-backbone: Platform reliability,Platform reliability,Blueprint provisioning has retry/idempotency so a half-created env does not strand resources,,,pi-2
S038,Non-backbone: Platform reliability,Platform reliability,Multi-region IDP for DR,,,pi-3
S039,Non-backbone: Security and compliance,Security and compliance,Prod-secret request flow (request → approve → time-bound access),,,pi-2
S040,Non-backbone: Security and compliance,Security and compliance,"SBOM findings escalation policy (when a CVE crosses a threshold, who is notified)",,,pi-2
S041,Non-backbone: Security and compliance,Security and compliance,SOC2/ISO evidence export from the audit store,,,pi-3
