id,activity,task,story,persona,outcome,slice,status,status_evidence
S001,Sign in,Authenticate via corporate SSO,"As a CS agent, I want to sign in with my company SSO, so that I don't manage another password [shipped]",CS agent,I don't manage another password [shipped],pi-1,,
S002,Find transaction,Look up by identifier,"As a CS agent, I want to find a transaction by ID, so that I can resolve a customer ticket fast [shipped]",CS agent,I can resolve a customer ticket fast [shipped],pi-1,,
S003,Find transaction,Look up by customer,"As a CS agent, I want to find transactions by customer email, so that I can find the right charge when the customer doesn't have an ID [in-progress]",CS agent,I can find the right charge when the customer doesn't have an ID [in-progress],pi-1,,
S004,Review transaction,Inspect details before action,"As a CS agent, I want to view full transaction details, so that I can confirm I'm refunding the right charge [in-progress]",CS agent,I can confirm I'm refunding the right charge [in-progress],pi-1,,
S005,Submit refund,Issue refund within auto-approve threshold,"As a CS agent, I want to submit refunds under $100 with rule-based auto-approve, so that small refunds clear instantly without a queue [started]",CS agent,small refunds clear instantly without a queue [started],pi-1,,
S006,Submit refund,Issue refund above threshold,"As a CS agent, I want to submit refunds over $100 into the approval queue, so that supervisors can sanity-check before money moves [not-started]",CS agent,supervisors can sanity-check before money moves [not-started],pi-1,,
S007,Approve refund,Supervisor review,"As a refund approver, I want a dashboard of pending refunds, so that I can clear the queue without hunting for individual cases [not-started]",Approver,I can clear the queue without hunting for individual cases [not-started],pi-1,,
S008,Notify stakeholders,Notify customer,"As a customer, I want an email when my refund is approved, so that I know the money is on the way [in-progress]",Customer,I know the money is on the way [in-progress],pi-1,,
S009,Notify stakeholders,Notify approver,"As an approver, I want a Slack ping when a refund needs my review, so that I don't miss queued items [not-started]",Approver,I don't miss queued items [not-started],pi-1,,
S010,Notify stakeholders,Handle failed refunds,"As a CS agent, I want failed refunds to retry automatically, so that intermittent payment-provider blips don't become support escalations [not-started]",CS agent,intermittent payment-provider blips don't become support escalations [not-started],pi-1,,
S011,Audit / compliance,Emit audit events,"Emit audit log events for every refund action, so that auditors can reconstruct decisions [in-progress]",SOC 2 auditor,auditors can reconstruct decisions [in-progress],pi-1,,
S012,Audit / compliance,Search audit log,"As a compliance reviewer, I want to search the audit log by case/user/date, so that I can answer auditor questions without engineering [not-started]",Compliance,I can answer auditor questions without engineering [not-started],pi-1,,
S013,Audit / compliance,Retention policy,"Enforce SOC 2 audit log retention policy (7 years), so that the audit trail is admissible [not-started]",,the audit trail is admissible [not-started],pi-1,,
S014,Audit / compliance,Export evidence,"As a compliance officer, I want to export the audit log to CSV, so that I can hand evidence to the auditor [not-started]",Compliance,I can hand evidence to the auditor [not-started],pi-1,,
S015,Detect anomalies,Pattern detection on refunds,"As a security engineer, I want suspicious refund clusters to fire an alert, so that we catch internal fraud or compromised accounts early [not-started]",security engineer,we catch internal fraud or compromised accounts early [not-started],pi-1,,
S016,Provision tenant users,Establish SCIM 2.0 endpoint surface,"As an enterprise IT admin, I want a SCIM 2.0 endpoint scaffolded with auth, so that my IdP can discover the provisioning API",Enterprise IT admin,my IdP can discover the provisioning API,pi-1-scim,,
S017,Provision tenant users,Provision users,"As an enterprise IT admin, I want to create and update users via SCIM, so that new hires get refund-portal access automatically",Enterprise IT admin,new hires get refund-portal access automatically,pi-1-scim,,
S018,Provision tenant users,Deprovision users,"As an enterprise IT admin, I want SCIM DELETE to disable access immediately, so that offboarded employees lose portal access (also closes a SOC 2 control)",Enterprise IT admin,offboarded employees lose portal access (also closes a SOC 2 control),pi-1-scim,,
S019,Provision tenant users,Group-to-role mapping,"As an enterprise IT admin, I want my IdP group memberships to map to refund-portal roles, so that I don't manually re-assign permissions per user",Enterprise IT admin,I don't manually re-assign permissions per user,deferred-or-pi-1-scim,,
